l_depth,sample_size,invariant_name,run_id,invariance_execution_time_ms,invariance_num_clusters,invariance_num_clusters/ms,invariance_variance,invariance_variance*ms,isomorphism_execution_time_ms,isomorphism_check_count,isomorphism_num_clusters,total_execution_time_ms
0,0.25,edge_label_with_nodes_histogram,2.0,369.01164054870605,419.3333333333333,1.1384213225620892,18283210.0,6750589986.6809845,1504.1313966115315,17825.333333333332,434.3333333333333,1873.1430371602376
0,0.25,no_invariant,2.0,21.790266036987305,1.0,0.05334187191985675,331749796.0,7228916312.556267,11555.029074350992,550809.3333333334,434.3333333333333,11576.81934038798
0,0.25,node_label_histogram,2.0,452.254851659139,355.0,1.836149722460914,25122536.0,11356928392.20365,1673.3017762502034,21495.666666666668,434.3333333333333,2125.5566279093423
0,0.25,node_label_with_edges_histogram,2.0,463.14771970113117,411.6666666666667,0.8922273395623305,24864074.666666668,11518395730.441889,1642.3447132110596,20910.0,434.3333333333333,2105.492432912191
0,0.25,weisfeiler_lehman_graph_hash_(1),2.0,541.0714944203695,432.6666666666667,0.7997071874909784,18263642.666666668,9881038216.010729,1504.909594853719,17783.666666666668,434.3333333333333,2045.9810892740886
0,0.25,weisfeiler_lehman_graph_hash_(2),2.0,765.9550507863363,433.6666666666667,0.5665116607812704,18263629.333333332,13989178722.122986,1505.5996576944988,17781.0,434.3333333333333,2271.554708480835
0,0.25,weisfeiler_lehman_graph_hash_(3),2.0,992.4418926239014,434.3333333333333,0.43766485697619933,18263597.333333332,18125637600.894135,1504.0672620137532,17779.666666666668,434.3333333333333,2496.509154637655
0,0.5,edge_label_with_nodes_histogram,2.0,705.2512168884277,540.3333333333334,0.7662912395665025,73189685.0,51613951994.87925,3069.281021753947,35953.0,561.6666666666666,3774.5322386423745
0,0.5,no_invariant,2.0,54.700215657552086,1.0,0.01834480004115339,1327072041.0,72591126835.8078,21429.945945739746,1133441.6666666667,561.6666666666666,21484.646161397297
0,0.5,node_label_histogram,2.0,261.7991765340169,450.3333333333333,1.723648048295501,100534323.0,26325211708.50595,3293.9745585123696,41410.0,561.6666666666666,3555.7737350463867
0,0.5,node_label_with_edges_histogram,2.0,6910.858392715454,530.0,0.4239636813519792,99642395.0,693201642548.5978,3263.2763385772705,40417.333333333336,561.6666666666666,10174.134731292725
0,0.5,weisfeiler_lehman_graph_hash_(1),2.0,1089.0511671702068,559.6666666666666,0.5141412003961331,73106571.66666667,79621478896.96828,3065.3903484344482,35876.0,561.6666666666666,4154.441515604655
0,0.5,weisfeiler_lehman_graph_hash_(2),2.0,1573.6034711201985,560.6666666666666,0.3562843894722922,73106453.0,115038567250.35541,3090.674082438151,35868.666666666664,561.6666666666666,4664.27755355835
0,0.5,weisfeiler_lehman_graph_hash_(3),2.0,2022.78733253479,561.6666666666666,0.2776853667513275,73106400.33333333,147880882295.92648,3078.9600213368735,35867.333333333336,561.6666666666666,5101.747353871663
0,1.0,edge_label_with_nodes_histogram,2.0,1443.899393081665,726.0,0.5028890815908421,293224391.0,423386520201.6408,6158.2737763722735,72435.33333333333,754.0,7602.1731694539385
0,1.0,no_invariant,2.0,94.90052858988444,1.0,0.01054564792511991,5308433881.0,503773181291.35175,46095.11907895406,2372792.0,754.0,46190.019607543945
0,1.0,node_label_histogram,2.0,507.98360506693524,590.0,1.1616903438617694,401886351.0,204151677408.1757,6616.750876108806,82501.0,754.0,7124.73448117574
0,1.0,node_label_with_edges_histogram,2.0,1697.9248523712158,705.0,0.41522726704477336,398031917.0,675828283911.2571,6510.301510492961,79894.66666666667,754.0,8208.226362864176
0,1.0,weisfeiler_lehman_graph_hash_(1),2.0,2140.7660643259683,752.0,0.35129060743145657,292852707.0,626929136991.5961,6154.600063959758,72120.0,754.0,8295.366128285727
0,1.0,weisfeiler_lehman_graph_hash_(2),2.0,3128.481388092041,753.0,0.24069599616583767,292852347.0,916183117048.5721,6170.331796010335,72110.0,754.0,9298.813184102377
0,1.0,weisfeiler_lehman_graph_hash_(3),2.0,4076.25420888265,754.0,0.18497455826819295,292851927.0,1193738900013.1445,6174.963076909383,72105.0,754.0,10251.217285792032
